code,name,name_phonetic,area_information_city_code,used_by_regular_seismic_intensity,used_by_realtime_seismic_intensity,used_by_long_seismic_intensity
0123500,石狩市花川,いしかりしはなかわ,0123500,1,1,
0123501,石狩市聚富,いしかりししっぷ,0123500,1,1,
0123520,石狩市厚田,いしかりしあつた,0123500,1,,
0123521,石狩市浜益,いしかりしはまます,0123500,1,,
0123522,石狩市花畔,いしかりしばんなぐろ,0123500,1,,
0130320,当別町白樺,とうべつちょうしらかば,0130300,1,,
0130431,新篠津村第４７線,しんしのつむらだいよんじゅうななせん,0130400,1,,
0110100,札幌中央区北２条,さっぽろちゅうおうくきたにじょう,0110100,1,1,
0110140,札幌中央区南４条,さっぽろちゅうおうくみなみよじょう,0110100,1,,
0110220,札幌北区太平,さっぽろきたくたいへい,0110200,1,,
0110240,札幌北区篠路,さっぽろきたくしのろ,0110200,1,,
0110241,札幌北区新琴似,さっぽろきたくしんことに,0110200,1,,
0110341,札幌東区元町,さっぽろひがしくもとまち,0110300,1,,
0110441,札幌白石区北郷,さっぽろしろいしくきたごう,0110400,1,,
0110540,札幌豊平区月寒東,さっぽろとよひらくつきさむひがし,0110500,1,,
0110621,札幌南区定山渓温泉,さっぽろみなみくじょうざんけいおんせん,0110600,1,,
0110642,札幌南区川沿,さっぽろみなみくかわぞえ,0110600,1,,
0110643,札幌南区石山,さっぽろみなみくいしやま,0110600,1,,
0110740,札幌西区琴似,さっぽろにしくことに,0110700,1,,
0110840,札幌厚別区もみじ台,さっぽろあつべつくもみじだい,0110800,1,,
0110940,札幌手稲区前田,さっぽろていねくまえだ,0110900,1,,
0111040,札幌清田区平岡,さっぽろきよたくひらおか,0111000,1,,
0121700,江別市高砂町,えべつしたかさごちょう,0121700,1,1,
0121720,江別市緑町,えべつしみどりまち,0121700,1,,
0122400,千歳市北栄,ちとせしほくえい,0122400,1,1,
0122401,新千歳空港,しんちとせくうこう,0122400,1,1,
0122420,千歳市若草,ちとせしわかくさ,0122400,1,,
0122421,千歳市支笏湖温泉,ちとせししこつこおんせん,0122400,1,,
